£||#||#||———
name||set||set_code||id||type||power||toughness||loyalty||manacost||converted_manacost||artist||flavor||color||generated_mana||number||rarity||rating||ruling||variation||ability||pricing_low||pricing_mid||pricing_high||watermark||print_number||is_original||back_id||number_int||name_CN||name_TW||name_FR||name_DE||name_IT||name_JP||name_PT||name_RU||name_ES||name_KO||type_CN||type_TW||type_FR||type_DE||type_IT||type_JP||type_PT||type_RU||type_ES||type_KO||ability_CN||ability_TW||ability_FR||ability_DE||ability_IT||ability_JP||ability_PT||ability_RU||ability_ES||ability_KO||flavor_CN||flavor_TW||flavor_FR||flavor_DE||flavor_IT||flavor_JP||flavor_PT||flavor_RU||flavor_ES||flavor_KO||color_identity||fully_handled||custom_sort||legality_Block||legality_Standard||legality_Modern||legality_Legacy||legality_Vintage||legality_Highlander||legality_French_Commander||legality_Tiny_Leaders_Commander||legality_Leviathan_Commander||legality_Commander||legality_Peasant||legality_Pauper||
Chandra's Defeat||Hour of Devastation||HOU||430775||Instant||||||||{R}||1||Kieran Yanner||#"Fire? Is that your only trick, Chandra?"£—Nicol Bolas#||R||||86||U||5||||||Chandra's Defeat deals 5 damage to target red creature or red planeswalker. If that permanent is a Chandra planeswalker, you may discard a card. If you do, draw a card.||||||||||||||||86||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||R||True||||||||||||||||||||||||||||
Chaos Maw||Hour of Devastation||HOU||430776||Creature — Hellion||6||6||||{5}{R}{R}||7||Steve Argyle||#The food chain doesn't end at sandwurms.#||R||||87||R||5||||||When Chaos Maw enters the battlefield, it deals 3 damage to each other creature.||||||||||||||||87||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||R||True||||||||||||||||||||||||||||
Cinder Barrens||Hour of Devastation||HOU||432888||Land||||||||||0||Titus Lunter||#"I do as I choose with what is mine. And it is all mine."£—Nicol Bolas#||L||{B}{R}||209||C||5||||||Cinder Barrens enters the battlefield tapped.£{T}: Add {B} or {R} to your mana pool.||||||||||||||||209||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||BR||True||||||||||||||||||||||||||||
Claim // Fame||Hour of Devastation||HOU||430839||Sorcery // Sorcery||||||||{B} // {1}{R}||1 // 2||Jason Rainville // Jason Rainville||||B // R||||150||U // U||5||£4/18/2017 : Split cards with aftermath have a new frame treatment—the half you can cast from your hand is oriented the same as other cards you’d cast from your hand, while the half you can cast from your graveyard is a traditional split card half. This frame treatment is for your convenience and has no rules significance.<tr class="post oddItem" style="background-color: rgba(255,255,366, 0.08);">£4/18/2017 : All split cards have two card faces on a single card, and you put a split card onto the stack with only the half you’re casting. The characteristics of the half of the card you didn’t cast are ignored while the spell is on the stack. For example, if an effect prevents you from casting green spells, you can cast Destined of Destined // Lead, but not Lead.£4/18/2017 : Each split card is a single card. For example, if you discard one, you’ve discarded one card, not two. If an effect counts the number of instant and sorcery cards in your graveyard, Destined // Lead counts once, not twice.<tr class="post oddItem" style="background-color: rgba(255,255,366, 0.08);">£4/18/2017 : Each split card has two names. If an effect instructs you to choose a card name, you may choose one, but not both.£4/18/2017 : While not on the stack, the characteristics of a split card are the combination of its two halves. For example, Destined // Lead is a green and black card, it is both an instant card and a sorcery card, and its converted mana cost is 6. This means that if an effect allows you to cast a card with converted mana cost 2 from your hand, you can’t cast Destined. This is a change from the previous rules for split cards.<tr class="post oddItem" style="background-color: rgba(255,255,366, 0.08);">£4/18/2017 : If you cast the first half of a split card with aftermath during your turn, you’ll have priority immediately after it resolves. You can cast the half with aftermath from your graveyard before any player can take any other action if it’s legal for you to do so.£4/18/2017 : If another effect allows you to cast a split card with aftermath from any zone other than a graveyard, you can’t cast the half with aftermath.<tr class="post oddItem" style="background-color: rgba(255,255,366, 0.08);">£4/18/2017 : If another effect allows you to cast a split card with aftermath from a graveyard, you may cast either half. If you cast the half that has aftermath, you’ll exile the card if it would leave the stack.£4/18/2017 : A spell with aftermath cast from a graveyard will always be exiled afterward, whether it resolves, it’s countered, or it leaves the stack in some other way.||||Return target creature card with converted mana cost 2 or less from your graveyard to the battlefield.£ // £Aftermath #(Cast this spell only from your graveyard. Then exile it.)#£Target creature gets +2/+0 and gains haste until end of turn.||||||||||||||||150||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||BR||True||||||||||||||||||||||||||||
Consign // Oblivion||Hour of Devastation||HOU||430838||Instant // Sorcery||||||||{1}{U} // {4}{B}||2 // 5||Sidharth Chaturvedi // Sidharth Chaturvedi||||U // B||||149||U // U||5||£4/18/2017 : Split cards with aftermath have a new frame treatment—the half you can cast from your hand is oriented the same as other cards you’d cast from your hand, while the half you can cast from your graveyard is a traditional split card half. This frame treatment is for your convenience and has no rules significance.<tr class="post oddItem" style="background-color: rgba(255,255,366, 0.08);">£4/18/2017 : All split cards have two card faces on a single card, and you put a split card onto the stack with only the half you’re casting. The characteristics of the half of the card you didn’t cast are ignored while the spell is on the stack. For example, if an effect prevents you from casting green spells, you can cast Destined of Destined // Lead, but not Lead.£4/18/2017 : Each split card is a single card. For example, if you discard one, you’ve discarded one card, not two. If an effect counts the number of instant and sorcery cards in your graveyard, Destined // Lead counts once, not twice.<tr class="post oddItem" style="background-color: rgba(255,255,366, 0.08);">£4/18/2017 : Each split card has two names. If an effect instructs you to choose a card name, you may choose one, but not both.£4/18/2017 : While not on the stack, the characteristics of a split card are the combination of its two halves. For example, Destined // Lead is a green and black card, it is both an instant card and a sorcery card, and its converted mana cost is 6. This means that if an effect allows you to cast a card with converted mana cost 2 from your hand, you can’t cast Destined. This is a change from the previous rules for split cards.<tr class="post oddItem" style="background-color: rgba(255,255,366, 0.08);">£4/18/2017 : If you cast the first half of a split card with aftermath during your turn, you’ll have priority immediately after it resolves. You can cast the half with aftermath from your graveyard before any player can take any other action if it’s legal for you to do so.£4/18/2017 : If another effect allows you to cast a split card with aftermath from any zone other than a graveyard, you can’t cast the half with aftermath.<tr class="post oddItem" style="background-color: rgba(255,255,366, 0.08);">£4/18/2017 : If another effect allows you to cast a split card with aftermath from a graveyard, you may cast either half. If you cast the half that has aftermath, you’ll exile the card if it would leave the stack.£4/18/2017 : A spell with aftermath cast from a graveyard will always be exiled afterward, whether it resolves, it’s countered, or it leaves the stack in some other way.||||Return target nonland permanent to its owner's hand.£ // £Aftermath #(Cast this spell only from your graveyard. Then exile it.)#£Target opponent discards two cards.||||||||||||||||149||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||UB||True||||||||||||||||||||||||||||
Refuse // Cooperate||Hour of Devastation||HOU||430845||Instant // Instant||||||||{3}{R} // {2}{U}||4 // 3||Yongjae Choi // Yongjae Choi||||R // U||||156||R // R||5||£4/18/2017 : Split cards with aftermath have a new frame treatment—the half you can cast from your hand is oriented the same as other cards you’d cast from your hand, while the half you can cast from your graveyard is a traditional split card half. This frame treatment is for your convenience and has no rules significance.<tr class="post oddItem" style="background-color: rgba(255,255,366, 0.08);">£4/18/2017 : All split cards have two card faces on a single card, and you put a split card onto the stack with only the half you’re casting. The characteristics of the half of the card you didn’t cast are ignored while the spell is on the stack. For example, if an effect prevents you from casting green spells, you can cast Destined of Destined // Lead, but not Lead.£4/18/2017 : Each split card is a single card. For example, if you discard one, you’ve discarded one card, not two. If an effect counts the number of instant and sorcery cards in your graveyard, Destined // Lead counts once, not twice.<tr class="post oddItem" style="background-color: rgba(255,255,366, 0.08);">£4/18/2017 : Each split card has two names. If an effect instructs you to choose a card name, you may choose one, but not both.£4/18/2017 : While not on the stack, the characteristics of a split card are the combination of its two halves. For example, Destined // Lead is a green and black card, it is both an instant card and a sorcery card, and its converted mana cost is 6. This means that if an effect allows you to cast a card with converted mana cost 2 from your hand, you can’t cast Destined. This is a change from the previous rules for split cards.<tr class="post oddItem" style="background-color: rgba(255,255,366, 0.08);">£4/18/2017 : If you cast the first half of a split card with aftermath during your turn, you’ll have priority immediately after it resolves. You can cast the half with aftermath from your graveyard before any player can take any other action if it’s legal for you to do so.£4/18/2017 : If another effect allows you to cast a split card with aftermath from any zone other than a graveyard, you can’t cast the half with aftermath.<tr class="post oddItem" style="background-color: rgba(255,255,366, 0.08);">£4/18/2017 : If another effect allows you to cast a split card with aftermath from a graveyard, you may cast either half. If you cast the half that has aftermath, you’ll exile the card if it would leave the stack.£4/18/2017 : A spell with aftermath cast from a graveyard will always be exiled afterward, whether it resolves, it’s countered, or it leaves the stack in some other way.<tr class="post oddItem" style="background-color: rgba(255,255,366, 0.08);">£6/27/2017 : If a spell has {X} in its mana cost, include the value chosen for that X when determining the converted mana cost of that spell.||||Refuse deals damage to target spell's controller equal to that spell's converted mana cost.£ // £Aftermath #(Cast this spell only from your graveyard. Then exile it.)#£Copy target instant or sorcery spell. You may choose new targets for the copy.||||||||||||||||156||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||UR||True||||||||||||||||||||||||||||
Countervailing Winds||Hour of Devastation||HOU||430721||Instant||||||||{2}{U}||3||Tyler Jacobson||#The Eternals had long since mastered every technique taught during the trials.#||U||||32||C||5||£6/27/2017 : Count the number of cards in your graveyard as Countervailing Winds resolves to determine how much mana the controller of the target spell must pay to avoid the spell being countered. Countervailing Winds is still on the stack at this time and won’t count toward this number.||||Counter target spell unless its controller pays {1} for each card in your graveyard.£Cycling {2} #({2}, Discard this card: Draw a card.)#||||||||||||||||32||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||U||True||||||||||||||||||||||||||||
Crash Through||Hour of Devastation||HOU||430777||Sorcery||||||||{R}||1||Izzy||#"We have to get out of the city, Djeru. All of us! Gather as many as you can."£—Samut, former Tah-crop initiate#||R||||88||C||5||£6/27/2017 : Crash Through affects only creatures you control at the time it resolves. Creatures you begin to control later in the turn won’t gain trample.||||Creatures you control gain trample until end of turn.£Draw a card.||||||||||||||||88||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||R||True||||||||||||||||||||||||||||
Crested Sunmare||Hour of Devastation||HOU||430695||Creature — Horse||5||5||||{3}{W}{W}||5||Lucas Graciano||#"It is evidence that some pure corner of the world must still exist."£—Djeru, former Tah-crop initiate#||W||||6||M||5||£6/27/2017 : If a creature has been dealt damage, that damage remains marked on it until the cleanup step. If another Horse you control has been dealt lethal damage, and later in the turn Crested Sunmare leaves the battlefield, that Horse will be destroyed.£6/27/2017 : Crested Sunmare’s triggered ability won’t trigger unless you’ve gained life in the turn before the end step began. It can’t be satisfied by another triggered ability causing you to gain life during that end step.£6/27/2017 : Crested Sunmare’s triggered ability cares only whether you gained life in the turn, even if Crested Sunmare wasn’t on the battlefield when that happened. It doesn’t care how much you gained, whether you also lost life, or even whether you lost more life than you gained.||||Other Horses you control have indestructible.£At the beginning of each end step, if you gained life this turn, create a 5/5 white Horse creature token.||||||||||||||||6||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||W||True||||||||||||||||||||||||||||
Crook of Condemnation||Hour of Devastation||HOU||430848||Artifact||||||||{2}||2||Ben Maier||#The God-Pharaoh's angels stripped former initiates of their cartouches and the fortifying magic they provided.#||A||||159||U||5||||||{1}, {T}: Exile target card from a graveyard.£{1}, Exile Crook of Condemnation: Exile all cards from all graveyards.||||||||||||||||159||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||True||||||||||||||||||||||||||||
Crypt of the Eternals||Hour of Devastation||HOU||430858||Land||||||||||0||Titus Lunter||#The dead entered as worthy. They exited as Eternals.#||L||{U}{B}{R}{C}||169||U||5||||||When Crypt of the Eternals enters the battlefield, you gain 1 life.£{T}: Add {C} to your mana pool.£{1}, {T}: Add {U}, {B}, or {R} to your mana pool.||||||||||||||||169||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||UBR||True||||||||||||||||||||||||||||
Cunning Survivor||Hour of Devastation||HOU||430722||Creature — Human Warrior||1||3||||{1}{U}||2||Zoltan Boros||#Initiates who had been through the Trial of Knowledge learned to see everything as pieces of a larger puzzle.#||U||||33||C||5||£4/18/2017 : Some cards have an ability that triggers whenever you cycle any card. These triggered abilities resolve before you draw from the cycling ability.£4/18/2017 : An ability that triggers whenever you discard a card doesn’t give you permission to discard cards. You’ll need another effect that instructs or allows you to discard them.£4/18/2017 : An ability that triggers whenever you “cycle or discard” a card triggers only once if you cycle a card. The ability “Whenever you discard a card” is functionally identical to this ability; cycling is mentioned for clarity.£4/18/2017 : If a player discards a card during his or her cleanup step due to having too many cards in hand, any appropriate abilities that trigger on discarding that card trigger. If this happens, those triggered abilities are put onto the stack and players receive priority in that cleanup step to cast spells or activate abilities (normally, no players may take actions during a cleanup step). Another cleanup step is created following that one.||||Whenever you cycle or discard a card, Cunning Survivor gets +1/+0 until end of turn and can't be blocked this turn.||||||||||||||||33||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||U||True||||||||||||||||||||||||||||
Dagger of the Worthy||Hour of Devastation||HOU||430849||Artifact — Equipment||||||||{2}||2||Tommy Arnold||||A||||160||U||5||£6/27/2017 : If a creature has multiple instances of afflict, each triggers separately.£6/27/2017 : If multiple creatures block a creature with afflict, afflict triggers only once.£6/27/2017 : Afflict causes the defending player to lose life; it’s not damage or combat damage.£6/27/2017 : If a creature is attacking a planeswalker, that planeswalker’s controller is the defending player.£6/27/2017 : Afflict resolves before combat damage is dealt. If this loss of life brings a player to 0 life or less, that player loses the game immediately. A blocking creature with lifelink won’t deal combat damage in time to save that player.||||Equipped creature gets +2/+0 and has afflict 1. #(Whenever it becomes blocked, defending player loses 1 life.)#£Equip {2} #({2}: Attach to target creature you control. Equip only as a sorcery.)#||||||||||||||||160||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||True||||||||||||||||||||||||||||
Dauntless Aven||Hour of Devastation||HOU||430696||Creature — Bird Warrior||2||1||||{2}{W}||3||Zack Stella||#In the chaos brought by the new gods, swift-winged aven served as pathfinders, leading the last of the people away from the ruins of Naktamun.#||W||||7||C||5||£6/27/2017 : Untapping an attacking creature doesn’t remove it from combat.£6/27/2017 : All attackers are chosen at once. You can’t attack with Dauntless Aven, untap a tapped creature, and then attack with that creature.||||Flying£Whenever Dauntless Aven attacks, untap target creature you control.||||||||||||||||7||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||W||True||||||||||||||||||||||||||||
Defiant Khenra||Hour of Devastation||HOU||430778||Creature — Jackal Warrior||2||2||||{1}{R}||2||David Palumbo||#There were those who saw the death of the gods and the city's collapse as a final test of worth. Some believed it meant the God-Pharaoh had been killed. Only a few realized they had been deceived.#||R||||89||C||5||||||||||||||||||||||89||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||R||True||||||||||||||||||||||||||||
Desert of the Fervent||Hour of Devastation||HOU||430859||Land — Desert||||||||||0||Titus Lunter||||L||{R}||170||C||5||£4/18/2017 : Desert is a land subtype with no special meaning. It doesn’t grant the land an intrinsic mana ability. Other cards may care about which lands are Deserts.||||Desert of the Fervent enters the battlefield tapped.£{T}: Add {R} to your mana pool.£Cycling {1}{R} #({1}{R}, Discard this card: Draw a card.)#||||||||||||||||170||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||R||True||||||||||||||||||||||||||||
Desert of the Glorified||Hour of Devastation||HOU||430860||Land — Desert||||||||||0||Jonas De Ro||||L||{B}||171||C||5||£4/18/2017 : Desert is a land subtype with no special meaning. It doesn’t grant the land an intrinsic mana ability. Other cards may care about which lands are Deserts.||||Desert of the Glorified enters the battlefield tapped.£{T}: Add {B} to your mana pool.£Cycling {1}{B} #({1}{B}, Discard this card: Draw a card.)#||||||||||||||||171||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||B||True||||||||||||||||||||||||||||
Desert of the Indomitable||Hour of Devastation||HOU||430861||Land — Desert||||||||||0||James Paick||||L||{G}||172||C||5||£4/18/2017 : Desert is a land subtype with no special meaning. It doesn’t grant the land an intrinsic mana ability. Other cards may care about which lands are Deserts.||||Desert of the Indomitable enters the battlefield tapped.£{T}: Add {G} to your mana pool.£Cycling {1}{G} #({1}{G}, Discard this card: Draw a card.)#||||||||||||||||172||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||G||True||||||||||||||||||||||||||||
Desert of the Mindful||Hour of Devastation||HOU||430862||Land — Desert||||||||||0||Christine Choi||||L||{U}||173||C||5||£4/18/2017 : Desert is a land subtype with no special meaning. It doesn’t grant the land an intrinsic mana ability. Other cards may care about which lands are Deserts.||||Desert of the Mindful enters the battlefield tapped.£{T}: Add {U} to your mana pool.£Cycling {1}{U} #({1}{U}, Discard this card: Draw a card.)#||||||||||||||||173||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||U||True||||||||||||||||||||||||||||
Desert of the True||Hour of Devastation||HOU||430863||Land — Desert||||||||||0||Jung Park||||L||{W}||174||C||5||£4/18/2017 : Desert is a land subtype with no special meaning. It doesn’t grant the land an intrinsic mana ability. Other cards may care about which lands are Deserts.||||Desert of the True enters the battlefield tapped.£{T}: Add {W} to your mana pool.£Cycling {1}{W} #({1}{W}, Discard this card: Draw a card.)#||||||||||||||||174||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||W||True||||||||||||||||||||||||||||
Desert's Hold||Hour of Devastation||HOU||430697||Enchantment — Aura||||||||{2}{W}||3||Sara Winters||||W||||8||U||5||£6/27/2017 : Activated abilities contain a colon. They’re generally written “[Cost]: [Effect].” Some keyword abilities are activated abilities and will have colons in their reminder text. Triggered abilities (starting with “when,” “whenever,” or “at”) are unaffected by the last ability of Desert’s Hold.£6/27/2017 : If an ability checks whether you control a Desert or there is a Desert card in your graveyard, having more than one doesn’t matter. Controlling one is the same as controlling five. There is also no extra bonus for both controlling one and having one in your graveyard.£6/27/2017 : For abilities that trigger only if you control a Desert or there is a Desert card in your graveyard, one condition must be true as the ability triggers and one must be true as the ability resolves. They don’t have to be the same condition, though. For example, you could sacrifice your only Desert after the ability triggers but before it has resolved.||||Enchant creature£When Desert's Hold enters the battlefield, if you control a Desert or there is a Desert card in your graveyard, you gain 3 life.£Enchanted creature can't attack or block, and its activated abilities can't be activated.||||||||||||||||8||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||W||True||||||||||||||||||||||||||||
Driven // Despair||Hour of Devastation||HOU||430846||Sorcery // Sorcery||||||||{1}{G} // {1}{B}||2 // 2||Winona Nelson // Winona Nelson||||G // B||||157||R // R||5||£4/18/2017 : Split cards with aftermath have a new frame treatment—the half you can cast from your hand is oriented the same as other cards you’d cast from your hand, while the half you can cast from your graveyard is a traditional split card half. This frame treatment is for your convenience and has no rules significance.<tr class="post oddItem" style="background-color: rgba(255,255,366, 0.08);">£4/18/2017 : All split cards have two card faces on a single card, and you put a split card onto the stack with only the half you’re casting. The characteristics of the half of the card you didn’t cast are ignored while the spell is on the stack. For example, if an effect prevents you from casting green spells, you can cast Destined of Destined // Lead, but not Lead.£4/18/2017 : Each split card is a single card. For example, if you discard one, you’ve discarded one card, not two. If an effect counts the number of instant and sorcery cards in your graveyard, Destined // Lead counts once, not twice.<tr class="post oddItem" style="background-color: rgba(255,255,366, 0.08);">£4/18/2017 : Each split card has two names. If an effect instructs you to choose a card name, you may choose one, but not both.£4/18/2017 : While not on the stack, the characteristics of a split card are the combination of its two halves. For example, Destined // Lead is a green and black card, it is both an instant card and a sorcery card, and its converted mana cost is 6. This means that if an effect allows you to cast a card with converted mana cost 2 from your hand, you can’t cast Destined. This is a change from the previous rules for split cards.<tr class="post oddItem" style="background-color: rgba(255,255,366, 0.08);">£4/18/2017 : If you cast the first half of a split card with aftermath during your turn, you’ll have priority immediately after it resolves. You can cast the half with aftermath from your graveyard before any player can take any other action if it’s legal for you to do so.£4/18/2017 : If another effect allows you to cast a split card with aftermath from any zone other than a graveyard, you can’t cast the half with aftermath.<tr class="post oddItem" style="background-color: rgba(255,255,366, 0.08);">£4/18/2017 : If another effect allows you to cast a split card with aftermath from a graveyard, you may cast either half. If you cast the half that has aftermath, you’ll exile the card if it would leave the stack.£4/18/2017 : A spell with aftermath cast from a graveyard will always be exiled afterward, whether it resolves, it’s countered, or it leaves the stack in some other way.<tr class="post oddItem" style="background-color: rgba(255,255,366, 0.08);">£6/27/2017 : If you resolve multiples of Driven or of Despair in one turn, your creatures have that many instances of the appropriate triggered ability. Each instance triggers separately.£6/27/2017 : Multiple instances of trample or menace are redundant.<tr class="post oddItem" style="background-color: rgba(255,255,366, 0.08);">£6/27/2017 : Driven and Despair each affect only creatures you control at the time it resolves. Creatures you begin to control later in the turn won’t gain the keyword ability or the triggered ability.||||Until end of turn, creatures you control gain trample and "Whenever this creature deals combat damage to a player, draw a card."£ // £Aftermath #(Cast this spell only from your graveyard. Then exile it.)#£Until end of turn, creatures you control gain menace and "Whenever this creature deals combat damage to a player, that player discards a card."||||||||||||||||157||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||BG||True||||||||||||||||||||||||||||
Devotee of Strength||Hour of Devastation||HOU||430802||Creature — Naga Wizard||3||2||||{2}{G}||3||Yeong-Hao Han||#When Rhonas fell, his followers stirred with newfound strength—a final gift from a god they thought indomitable.#||G||||113||U||5||||||{4}{G}: Target creature gets +2/+2 until end of turn.||||||||||||||||113||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||G||True||||||||||||||||||||||||||||
Disposal Mummy||Hour of Devastation||HOU||430698||Creature — Zombie Jackal||2||3||||{2}{W}||3||Gabor Szikszai||#Without the viziers to oversee their actions, some anointed went to extreme lengths to fulfill their directives.#||W||||9||C||5||||||When Disposal Mummy enters the battlefield, exile target card from an opponent's graveyard.||||||||||||||||9||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||W||True||||||||||||||||||||||||||||
Djeru, With Eyes Open||Hour of Devastation||HOU||430699||Legendary Creature — Human Warrior||4||3||||{3}{W}{W}||5||Kieran Yanner||||W||||10||R||5||£6/27/2017 : If multiple sources would deal damage to one or more planeswalkers you control at once (for example, several attacking creatures), 1 damage from each of those sources to each of those planeswalkers is prevented.||||Vigilance£When Djeru, With Eyes Open enters the battlefield, you may search your library for a planeswalker card, reveal it, put it into your hand, then shuffle your library.£If a source would deal damage to a planeswalker you control, prevent 1 of that damage.||||||||||||||||10||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||W||True||||||||||||||||||||||||||||
Djeru's Renunciation||Hour of Devastation||HOU||430700||Instant||||||||{1}{W}||2||Kieran Yanner||#"I was promised an afterlife, not this. Samut was right. The God-Pharaoh lied."£—Djeru, former Tah-crop initiate#||W||||11||C||5||||||Tap up to two target creatures.£Cycling {W} #({W}, Discard this card: Draw a card.)#||||||||||||||||11||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||W||True||||||||||||||||||||||||||||
Doomfall||Hour of Devastation||HOU||430751||Sorcery||||||||{2}{B}||3||Darek Zabrocki||#"This place has outlived its usefulness."£—Nicol Bolas#||B||||62||U||5||£6/27/2017 : If you choose Doomfall’s first mode, the target opponent chooses which creature to exile. That creature isn’t targeted, so a creature with hexproof can be exiled this way.£6/27/2017 : If you choose Doomfall’s second mode, you must exile a nonland card from that player’s hand if able. If you can’t, most likely because that player’s hand contains only land cards, nothing happens. That player won’t exile a creature he or she controls instead.||||Choose one —£• Target opponent exiles a creature he or she controls.£• Target opponent reveals his or her hand. You choose a nonland card from it. Exile that card.||||||||||||||||62||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||B||True||||||||||||||||||||||||||||
Dreamstealer||Hour of Devastation||HOU||430752||Creature — Human Wizard||1||2||||{2}{B}||3||Yongjae Choi||||B||||63||R||5||£6/27/2017 : For each card with eternalize, a corresponding game play supplement token can be found in some Hour of Devastation booster packs. These supplements are not required to play with cards with eternalize; you can use the same items to represent an eternalized token as you would any other token.£6/27/2017 : If a creature card with eternalize is put into your graveyard during your main phase, you’ll have priority immediately afterward. You can activate its eternalize ability before any player can try to exile it, such as with Crook of Condemnation, if it’s legal for you to do so.£6/27/2017 : Once you’ve activated an eternalize ability, the card is immediately exiled. Opponents can’t try to stop the ability by exiling the card with an effect such as that of Crook of Condemnation.£6/27/2017 : The token copies exactly what was printed on the original card and nothing else, except the characteristics specifically modified by eternalize. It doesn’t copy any information about the object the card was before it was put into your graveyard.£6/27/2017 : The token is a Zombie in addition to its other types and is black instead of its other colors. Its base power and toughness are 4/4. It has no mana cost, and thus its converted mana cost is 0. These are copiable values of the token that other effects may copy.£6/27/2017 : If the card copied by the token had any “when [this permanent] enters the battlefield” abilities, then the token also has those abilities and will trigger them when it’s created. Similarly, any “as [this permanent] enters the battlefield” or “[this permanent] enters the battlefield with” abilities that the token has copied will also work.||||Menace£Whenever Dreamstealer deals combat damage to a player, that player discards that many cards.£Eternalize {4}{B}{B} #({4}{B}{B}, Exile this card from your graveyard: Create a token that's a copy of it, except it's a 4/4 black Zombie Human Wizard with no mana cost. Eternalize only as a sorcery.)#||||||||||||||||63||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||B||True||||||||||||||||||||||||||||
Dune Diviner||Hour of Devastation||HOU||430803||Creature — Naga Cleric||2||3||||{2}{G}||3||Min Yum||#The desert had once been a place of endless horror. It was now the last refuge as the city of Naktamun fell.#||G||||114||U||5||£6/27/2017 : You can’t tap a single untapped Desert both to pay {1} and also to pay “Tap an untapped Desert you control.”||||{1}, Tap an untapped Desert you control: You gain 1 life.||||||||||||||||114||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||G||True||||||||||||||||||||||||||||
Dunes of the Dead||Hour of Devastation||HOU||430864||Land — Desert||||||||||0||E. M. Gist||#The Curse of Wandering permeated Amonkhet long before Nicol Bolas. He simply harnessed it.#||L||{C}||175||U||5||£4/18/2017 : Desert is a land subtype with no special meaning. It doesn’t grant the land an intrinsic mana ability. Other cards may care about which lands are Deserts.£6/27/2017 : Dunes of the Dead’s second ability doesn’t allow you to sacrifice it whenever you’d like. You must find another way to get Dunes of the Dead into the graveyard.£6/27/2017 : If you sacrifice Dunes of the Dead to pay the activation cost of an ability, you’ll create the Zombie token before that activated ability resolves.||||{T}: Add {C} to your mana pool.£When Dunes of the Dead is put into a graveyard from the battlefield, create a 2/2 black Zombie creature token.||||||||||||||||175||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||True||||||||||||||||||||||||||||
